x1,y1,data_set_number,data_set
0.72741762,1,1329,Testing
0.68222,1,1,selectiveSobolSampling_Train_XX
0.94394311,1,1755,Testing
0.52447585,1,613,Testing
0.551657,1,10,LHS_Vald_5
0.935624,1,40,Rand_Vald_3
0.40402,0,74,LHS_Training_4
0.35608605,0,258,Testing
0.00547448,0,67,Rand_Vald_4
0.59091848,1,157,Testing
0.25139,0,17,LHS_Training_0
0.69689544,1,1601,Testing
0.30930175,0,218,Testing
0.73653,1,102,Rand_Training_2
0.45934928,0,1646,Testing
0.2098703,0,56,Testing
0.059197,0,83,LHS_Training_1
0.60229945,1,1229,Testing
0.61864194,1,1133,Testing
0.716956,1,45,LHS_Vald_5
0.64734,1,49,Rand_Training_2
0.11011499,0,60,Testing
0.34894903,0,834,Testing
0.24391,0,123,LHS_Training_3
0.3669,0,4,selectiveSobolSampling_Train_XX
0.68958,1,29,Rand_Training_1
0.9660364,1,827,Testing
0.051588,0,72,LHS_Training_3
0.80953242,1,1743,Testing
0.67999233,1,233,Testing
0.41942,0,4,LHS_Training_5
0.75896649,1,671,Testing
0.73822,1,9,selectiveSobolSampling_Train_XX
0.45722799,0,878,Testing
0.23422906,0,424,Testing
0.556757,1,47,Rand_Vald_2
0.18581,0,86,regularSobol_Training_0
0.48096024,0,254,Testing
0.87528694,1,1315,Testing
0.84341,1,12,Rand_Training_5
0.52928,1,25,Rand_Training_1
0.8220212,1,1511,Testing
0.43472,0,8,regularSobol_Training_0
0.49337,0,80,regularSobol_Training_0
0.827628,1,7,Rand_Vald_4
0.69106,1,59,LHS_Vald_5
0.07075021,0,940,Testing
0.033895652,0,1252,Testing
0.6013215,1,101,selectiveSobolSampling_Vald_XX
0.43988,0,122,Rand_Training_5
0.778535,1,58,Rand_Vald_4
0.50791861,1,1733,Testing
0.77578,1,9,LHS_Training_0
0.14678,0,39,LHS_Training_3
0.42716853,0,870,Testing
0.088469049,0,12,Testing
0.48043363,0,638,Testing
0.3086474,0,1242,Testing
0.50089,1,53853,selectiveSobolSampling_Train_XX
0.55585,1,12,LHS_Training_4
0.168562,0,4,LHS_Vald_0
0.81001604,1,1231,Testing
0.47138388,0,1086,Testing
0.304321,0,53,Rand_Vald_1
0.58019377,1,605,Testing
0.28101,0,78,Rand_Training_2
0.618528,1,32,Rand_Vald_1
0.27202,0,94,LHS_Training_2
0.32918,0,11,Rand_Training_3
0.85791922,1,535,Testing
0.11791,0,50,LHS_Training_5
0.23473,0,110,LHS_Training_5
0.24990491,0,776,Testing
0.75197612,1,479,Testing
0.57937296,1,349,Testing
0.012691,0,68,Rand_Training_4
0.81956015,1,1319,Testing
0.44372947,0,1230,Testing
0.2642213045,0,400028,selectiveSobolSampling_Vald_XX
0.947394,1,1,LHS_Vald_2
0.14018,0,198,regularSobol_Training_4
0.095665,0,48,Rand_Training_3
0.36135,0,10,LHS_Training_0
0.547538,1,47,LHS_Vald_3
0.20257,0,14,selectiveSobolSampling_Train_XX
0.078653028,0,1356,Testing
0.22744,0,57,Rand_Training_2
0.0406382,0,1956,Testing
0.021821363,0,1716,Testing
0.67957,1,65,selectiveSobolSampling_Train_XX
0.75483271,1,351,Testing
0.82665434,1,871,Testing
0.5055,1,50,Rand_Training_3
0.87596394,1,291,Testing
0.099382,0,6,Rand_Training_2
0.58712323,1,285,Testing
0.29075,0,68,Rand_Training_0
0.2607925,0,394,Testing
0.63655151,1,57,Testing
0.15502612,0,784,Testing
0.95904589,1,123,Testing
0.077831913,0,1324,Testing
0.76741922,1,1151,Testing
0.950828939,1,400011,selectiveSobolSampling_Vald_XX
0.83976,1,29,Rand_Training_4
0.60101811,1,525,Testing
0.82969,1,39,regularSobol_Training_0
0.092501762,0,396,Testing
0.950828939,1,400011,selectiveSobolSampling_Vald_XX
0.0096077907,0,724,Testing
0.212661,0,5,LHS_Vald_1
0.78666691,1,559,Testing
0.59322177,1,1437,Testing
0.636071,1,145,selectiveSobolSampling_Vald_XX
0.59874512,1,1805,Testing
0.3764895,0,310,Testing
0.33617,0,52,selectiveSobolSampling_Train_XX
0.7694,1,41,Rand_Training_0
0.7902818,1,191,regularSobol_Vald_3
0.025416603,0,1908,Testing
0.10110967,0,28,Testing
0.68272,1,90,Rand_Training_0
0.099508072,0,1308,Testing
0.1278811,0,134,selectiveSobolSampling_Vald_XX
0.00028145,0,77,Rand_Training_5
0.15304,0,38,selectiveSobolSampling_Train_XX
0.33441,0,14,LHS_Training_3
0.31207,0,12,LHS_Training_1
0.73996,1,108,LHS_Training_3
0.42431,0,109,Rand_Training_1
0.34845022,0,322,Testing
0.679957,1,6,LHS_Vald_3
0.2943,0,64,Rand_Training_0
0.13052755,0,752,Testing
0.90456855,1,835,Testing
0.71252575,1,1249,Testing
0.0698369,0,25,LHS_Vald_1
0.331552,0,52,LHS_Vald_5
0.437631,0,78,Testing
0.87710194,1,35,Testing
0.65602847,1,793,Testing
0.083159515,0,1740,Testing
0.11883,0,18,regularSobol_Training_0
0.33556,0,98,LHS_Training_0
0.3082692474,0,400012,selectiveSobolSampling_Vald_XX
0.57059,1,85,selectiveSobolSampling_Train_XX
0.0154238,0,1,LHS_Vald_3
0.52693,1,125,regularSobol_Vald_0
0.70344329,1,1697,Testing
0.060921531,0,900,Testing
0.464115,0,24,LHS_Vald_0
0.19089983,0,280,Testing
0.98068,1,88,LHS_Training_2
0.80378,1,35,LHS_Training_1
0.80269,1,57,LHS_Training_5
0.39166002,0,1942,Testing
0.0809079,0,48,Rand_Vald_0
0.51221921,1,837,Testing
0.895794,1,62,LHS_Vald_3
0.076046258,0,44,Testing
0.87957,1,11,LHS_Training_5
0.68791871,1,1025,Testing
0.98241,1,25,Rand_Training_0
0.876459,1,803,Testing
0.915493,1,50,LHS_Vald_4
0.7203544,1,881,Testing
0.36525,0,75,Rand_Training_2
0.52302969,1,677,Testing
0.48422864,0,1022,Testing
0.33831,0,30,Rand_Training_2
0.8527983,1,1175,Testing
0.889889,1,45,Rand_Vald_1
0.95545,1,43,regularSobol_Training_0
0.44563162,0,14,Testing
0.85959588,1,119,Testing
0.366214,0,59,Rand_Vald_2
0.5269278,1,125,selectiveSobolSampling_Vald_XX
0.153169,0,29,LHS_Vald_5
0.48726,0,31,LHS_Vald_4
0.2775175,0,124,selectiveSobolSampling_Vald_XX
0.69284018,1,897,Testing
0.036878925,0,1636,Testing
0.0860112,0,41,Rand_Vald_1
0.16052374,0,1440,Testing
0.21738359,0,120,Testing
0.42428,0,70,Rand_Training_2
0.065678,0,53,LHS_Training_1
0.54422914,1,1077,Testing
0.66926,1,97,selectiveSobolSampling_Train_XX
0.98352675,1,491,Testing
0.79499457,1,1391,Testing
0.7570397905,1,400015,selectiveSobolSampling_Vald_XX
0.10467,0,22,LHS_Vald_4
0.14727345,0,848,Testing
0.434719,0,58,Rand_Vald_2
0.97386326,1,1195,Testing
0.31860354,0,1330,Testing
0.492194,0,6,LHS_Vald_0
0.87750453,1,1059,Testing
0.884567,1,12,LHS_Vald_2
0.95984,1,36,LHS_Vald_4
0.8671,1,14,Rand_Training_1
0.54084216,1,437,Testing
0.26324,0,10,LHS_Training_2
0.19103,0,127,Rand_Training_5
0.41483,0,30,Rand_Training_3
0.75749077,1,607,Testing
0.81219251,1,1487,Testing
0.864955,1,19,LHS_Vald_2
0.172118,0,31,LHS_Vald_3
0.99163436,1,779,Testing
0.15771,0,73,LHS_Training_1
0.052184,0,109,Rand_Training_2
0.50896691,1,197,Testing
0.9686397,1,571,Testing
0.51594754,1,1061,Testing
0.96409,1,130,LHS_Training_3
0.0372314,0,52,Rand_Vald_3
0.58653,1,17,Rand_Training_3
0.91612772,1,1299,Testing
0.52142,1,134,Rand_Training_5
0.48008,0,31408,selectiveSobolSampling_Train_XX
0.331176,0,4,LHS_Vald_2
0.63254,1,12,Rand_Training_4
0.6557098,1,1817,Testing
0.14842066,0,1360,Testing
0.1219183308,0,400018,selectiveSobolSampling_Vald_XX
0.76270264,1,799,Testing
0.64815,1,67,Rand_Training_5
0.92358,1,61,LHS_Training_4
0.94972539,1,923,Testing
0.92357163,1,243,Testing
0.073467,0,134,LHS_Training_5
0.28558,0,44,selectiveSobolSampling_Train_XX
0.71761426,1,1633,Testing
0.83816,1,11,LHS_Training_1
0.891275,1,52,LHS_Vald_4
0.151912,0,51,Rand_Vald_3
0.8801736,1,131,selectiveSobolSampling_Vald_XX
0.2150974,0,376,Testing
0.36142856,0,866,Testing
0.66933,1,1,LHS_Training_3
0.56415,1,67,Rand_Training_1
0.164713,0,37,LHS_Vald_4
0.59225,1,9,LHS_Training_5
0.64060691,1,441,Testing
0.85201542,1,663,Testing
0.16330387,0,1696,Testing
0.425983,0,27,LHS_Vald_4
0.71737,1,69,LHS_Training_5
0.57439,1,61,LHS_Vald_4
0.36835792,0,34,Testing
0.16903,0,148,LHS_Training_5
0.91033843,1,467,Testing
0.94689526,1,1051,Testing
0.16942,0,182,regularSobol_Training_3
0.27329463,0,1770,Testing
0.84756,1,72,Rand_Training_1
0.61217,1,91,Rand_Training_2
0.41187,0,95,Rand_Training_1
0.43106,0,80,Rand_Training_2
0.0062522017,0,1044,Testing
0.59316,1,129,Rand_Training_4
0.4327,0,15,LHS_Training_1
0.31137,0,35,Rand_Training_1
0.41097928,0,966,Testing
0.79544,1,23,Rand_Training_4
0.9493597,1,139,selectiveSobolSampling_Vald_XX
0.16738786,0,1888,Testing
0.045566,0,61,LHS_Vald_3
0.56422,1,53,Rand_Training_1
0.51049952,1,1989,Testing
0.18798,0,138,Rand_Training_5
0.60840122,1,589,Testing
0.669631,1,26,Rand_Vald_1
0.63089168,1,1017,Testing
0.49943,0,464,selectiveSobolSampling_Train_XX
0.049059615,0,580,Testing
0.91105,1,88,Rand_Training_0
0.57494,1,213,regularSobol_Training_5
0.74648,1,31,LHS_Training_5
0.36955125,0,802,Testing
0.60689,1,101,LHS_Training_2
0.1199806,0,1404,Testing
0.601692,1,4,Rand_Vald_4
0.14461293,0,592,Testing
0.072382047,0,1708,Testing
0.21656,0,20,Rand_Training_5
0.32668485,0,370,Testing
0.83417186,1,391,Testing
0.2789,0,91,Rand_Training_3
0.16145745,0,928,Testing
0.057702,0,39,LHS_Training_5
0.81093,1,85,Rand_Training_1
0.61838,1,18,Rand_Training_5
0.1610977,0,118,selectiveSobolSampling_Vald_XX
0.95956,1,171,regularSobol_Training_2
0.59977,1,56,Rand_Training_1
0.6562527,1,521,Testing
0.32809,0,84,selectiveSobolSampling_Train_XX
0.90124452,1,1731,Testing
0.68441404,1,1385,Testing
0.98583,1,109,LHS_Training_3
0.28946,0,9,Rand_Vald_3
0.84561,1,58,LHS_Training_5
0.47186546,0,1598,Testing
0.9159684,1,531,Testing
0.95750467,1,1403,Testing
0.51812456,1,1317,Testing
0.72386344,1,1777,Testing
0.266344,0,30,Rand_Vald_5
0.51318,1,73,LHS_Training_4
0.64746,1,54,LHS_Training_2
0.44303,0,137,Rand_Training_5
0.8163,1,41,Rand_Training_3
0.12854,0,97,Rand_Training_2
0.52567016,1,357,Testing
0.34674727,0,1986,Testing
0.061857126,0,1412,Testing
0.16678,0,63,Rand_Training_2
0.40872,0,51,LHS_Training_4
0.49588167,0,222,Testing
0.44609,0,114,LHS_Training_4
0.84780936,1,855,Testing
0.43086701,0,678,Testing
0.798212,1,20,LHS_Vald_3
0.1668911,0,1376,Testing
0.26521993,0,1034,Testing
0.0073959,0,110,LHS_Training_3
0.24323953,0,904,Testing
0.93041,1,3,LHS_Training_0
0.53842039,1,373,Testing
0.12828769,0,624,Testing
0.12069,0,56,LHS_Training_3
0.015728077,0,564,Testing
0.61439461,1,1453,Testing
0.8850973,1,99,Testing
0.90903895,1,339,Testing
0.30385813,0,1946,Testing
0.39971,0,77,Rand_Training_3
0.51860798,1,1829,Testing
0.84986915,1,1623,Testing
0.032575471,0,996,Testing
0.13089,0,6,regularSobol_Training_0
0.57019,1,89,Rand_Training_0
0.7735801,1,1599,Testing
0.53114666,1,741,Testing
0.217901,0,29,LHS_Vald_3
0.099033,0,112,LHS_Training_4
0.0889918,0,36,Rand_Vald_4
0.79472,1,63,selectiveSobolSampling_Train_XX
0.74316,1,48,Rand_Training_5
0.25161533,0,202,Testing
0.8913655,1,899,Testing
0.986241,1,7,LHS_Vald_5
0.69769301,1,321,Testing
0.04176513,0,1188,Testing
0.042928,0,42,LHS_Training_4
0.91734,1,21,LHS_Training_0
0.70449114,1,161,Testing
0.41023,0,91,Rand_Training_0
0.457614,0,55,Rand_Vald_4
0.83004,1,127,LHS_Training_5
0.198663,0,58,LHS_Vald_3
0.30185,0,9,Rand_Training_0
0.38486281,0,1654,Testing
0.15018163,0,400,Testing
0.62365,1,115,Rand_Training_3
0.95284,1,54,LHS_Training_0
0.51022309,1,965,Testing
0.84043656,1,199,Testing
0.715823,1,55,Rand_Vald_2
0.7615284,1,207,regularSobol_Vald_4
0.17657,0,43,LHS_Training_2
0.17759799,0,1344,Testing
0.80625,1,35,Rand_Training_5
0.84892,1,86,Rand_Training_0
0.008134266,0,212,Testing
0.41365,0,40,selectiveSobolSampling_Train_XX
0.51024,1,14749,selectiveSobolSampling_Train_XX
0.072792,0,95,LHS_Training_1
0.68596,1,129,regularSobol_Vald_0
0.27908049,0,938,Testing
0.67043,1,82,Rand_Training_0
0.95234,1,2,Rand_Training_3
0.964636,1,34,LHS_Vald_1
0.24918,0,32,LHS_Training_2
0.43881,0,98,LHS_Training_5
0.3669,0,4,regularSobol_Training_0
0.13812057,0,1712,Testing
0.28067,0,17,Rand_Training_0
0.80673,1,54,Rand_Training_2
0.21106,0,18,Rand_Vald_5
0.594612,1,40,LHS_Vald_5
0.540803,1,38,Rand_Vald_3
0.68833,1,1,Testing
0.23051,0,64126,selectiveSobolSampling_Train_XX
0.069187,0,54,Rand_Training_3
0.69802666,1,1345,Testing
0.28543,0,21,Rand_Vald_3
0.52863,1,26,LHS_Vald_0
0.13355574,0,1328,Testing
0.92233,1,147,regularSobol_Vald_0
0.6090973,1,1613,Testing
0.82485119,1,615,Testing
0.48434,0,145,Rand_Training_5
0.098949325,0,284,Testing
0.23801248,0,712,Testing
0.42968936,0,1190,Testing
0.85388,1,80,LHS_Training_2
0.73397145,1,1969,Testing
0.87311,1,23,selectiveSobolSampling_Train_XX
0.94354,1,31,Rand_Vald_5
0.99482203,1,203,Testing
0.44896454,0,1806,Testing
0.60685921,1,1869,Testing
0.32433,0,76,Rand_Training_4
0.665484,1,9,Rand_Vald_5
0.80129959,1,1679,Testing
0.33475168,0,914,Testing
0.84523601,1,215,Testing
0.680635,1,1257,Testing
0.19839,0,118,Rand_Training_2
0.91236871,1,1235,Testing
0.28313022,0,1466,Testing
0.26973129,0,490,Testing
0.1536325,0,1040,Testing
0.54751809,1,1365,Testing
0.528562,1,997,Testing
0.62779,1,81,selectiveSobolSampling_Train_XX
0.85047,1,119,LHS_Training_5
0.437823,0,21,LHS_Vald_3
0.36482,0,7,LHS_Training_2
0.704934,1,42,LHS_Vald_1
0.16430205,0,1120,Testing
0.39694714,0,1302,Testing
0.23517,0,10,LHS_Training_3
0.60476,1,121,LHS_Training_4
0.14986,0,9,Rand_Vald_4
0.10376,0,64,Rand_Training_2
0.58831645,1,541,Testing
0.22007972,0,360,Testing
0.11060806,0,572,Testing
0.44708778,0,526,Testing
0.66666781,1,841,Testing
0.26201,0,94,LHS_Training_4
0.97338366,1,1707,Testing
0.374925,0,31,Rand_Vald_0
0.74482244,1,657,Testing
0.456588,0,21,LHS_Vald_5
0.62779,1,81,regularSobol_Training_0
0.69644731,1,577,Testing
0.395578,0,38,LHS_Vald_3
0.78182274,1,1455,Testing
0.6675,1,85,LHS_Training_4
0.49989,0,7,Rand_Training_2
0.92092616,1,659,Testing
0.41052356,0,1990,Testing
0.5089702076,1,400029,selectiveSobolSampling_Vald_XX
0.19465767,0,152,Testing
0.29865383,0,1818,Testing
0.15612,0,55,Rand_Training_3
0.26880807,0,874,Testing
0.63612225,1,1081,Testing
0.0572564,0,15,Rand_Vald_4
0.1095097,0,210,regularSobol_Vald_4
0.88335135,1,355,Testing
0.77968673,1,703,Testing
0.47587,0,78064,selectiveSobolSampling_Train_XX
0.296736,0,43,Rand_Vald_1
0.42040068,0,646,Testing
0.85991835,1,1143,Testing
0.30807513,0,1626,Testing
0.57207,1,29,Rand_Training_0
0.690992,1,20,LHS_Vald_4
0.65675,1,9,LHS_Training_3
0.631927,1,36,LHS_Vald_5
0.41430212,0,1542,Testing
0.3993,0,87,Rand_Training_4
0.92191,1,71,Rand_Training_3
0.22918,0,32,Rand_Vald_2
0.12882352,0,1648,Testing
0.67211187,1,169,Testing
0.95206054,1,1691,Testing
0.086897307,0,1292,Testing
0.032080418,0,484,Testing
0.4169189,0,104,selectiveSobolSampling_Vald_XX
0.10258629,0,220,Testing
0.51482,1,57,LHS_Training_1
0.393924,0,45,LHS_Vald_4
0.50646584,1,1541,Testing
0.45632003,0,494,Testing
0.5455498,1,821,Testing
0.27990036,0,170,Testing
0.862552,1,47,LHS_Vald_4
0.5507274,1,1621,Testing
0.99515,1,1,LHS_Training_5
0.95255356,1,1179,Testing
0.61368,1,96,Rand_Training_5
0.26572838,0,106,Testing
0.50148,1,87133,selectiveSobolSampling_Train_XX
0.5495784,1,85,Testing
0.25572,0,5,LHS_Training_3
0.66978806,1,457,Testing
0.89912386,1,963,Testing
0.65755,1,62,LHS_Training_1
0.92677,1,4,LHS_Training_3
0.095497502,0,1180,Testing
0.52505391,1,1637,Testing
0.92768,1,36,Rand_Vald_1
0.20270608,0,1240,Testing
0.24972,0,45,LHS_Training_3
0.75656,1,143,regularSobol_Vald_0
0.26162,0,28,regularSobol_Training_0
0.25236,0,220,regularSobol_Training_5
0.050051,0,10,Rand_Training_1
0.247338,0,19,Rand_Vald_4
0.89389,1,72,LHS_Training_1
0.443567,0,38,LHS_Vald_1
0.85467458,1,407,Testing
0.20433,0,16,Rand_Training_4
0.5031255,1,1413,Testing
0.47085,0,68208,selectiveSobolSampling_Train_XX
0.46177104,0,1710,Testing
0.34927,0,37,LHS_Training_4
0.568467,1,38,Rand_Vald_5
0.54801301,1,1877,Testing
0.988497,1,65,LHS_Vald_3
0.20314,0,72,Rand_Training_4
0.13245,0,8,LHS_Training_0
0.16778636,0,864,Testing
0.18697543,0,1152,Testing
0.22768,0,73,Rand_Training_3
0.87372,1,63,Rand_Training_1
0.40433025,0,1366,Testing
0.68833,1,1,Testing
0.097811,0,59,LHS_Training_1
0.82718,1,77,LHS_Training_3
0.67813,1,22,LHS_Training_5
0.35439,0,61,Rand_Training_5
0.68833,1,1,Testing
0.577973,1,39,LHS_Vald_1
0.90363,1,67,LHS_Vald_4
0.59622,1,127,Rand_Training_4
0.009159424,0,1748,Testing
0.822859,1,25,LHS_Vald_3
0.0752923,0,33,Rand_Vald_3
0.35281,0,67,Rand_Training_4
0.29674627,0,378,Testing
0.21783,0,38,LHS_Training_1
0.65772418,1,9,Testing
0.9237832262,1,400019,selectiveSobolSampling_Vald_XX
0.61879,1,28,Rand_Training_4
0.39078,0,145,LHS_Training_5
0.24510652,0,1160,Testing
0.53894097,1,1397,Testing
0.14463,0,20198,selectiveSobolSampling_Train_XX
0.509331,1,8,LHS_Vald_0
0.30044,0,76,selectiveSobolSampling_Train_XX
0.30411,0,9,Rand_Training_4
0.72805,1,128,LHS_Training_4
0.906956,1,49,Rand_Vald_3
0.2381322,0,222,regularSobol_Vald_5
0.57743517,1,1853,Testing
0.42394147,0,486,Testing
0.70815,1,100,LHS_Training_5
0.13555,0,69,LHS_Training_3
0.75526,1,36,LHS_Training_1
0.053857948,0,1476,Testing
0.0085127,0,37,LHS_Vald_3
0.36685,0,65,Rand_Training_4
0.16363015,0,672,Testing
0.37100747,0,290,Testing
0.82856164,1,1287,Testing
0.13916597,0,432,Testing
0.9107,1,66,LHS_Training_2
0.39325,0,56,selectiveSobolSampling_Train_XX
0.71433988,1,1505,Testing
0.27606717,0,298,Testing
0.019731226,0,948,Testing
0.87148856,1,439,Testing
0.78936907,1,495,Testing
0.57059,1,85,regularSobol_Training_0
0.38543301,0,630,Testing
0.0558079,0,21,LHS_Vald_2
0.897803,1,49,Rand_Vald_0
0.96809625,1,1595,Testing
0.98019891,1,1131,Testing
0.57094,1,91,LHS_Training_0
0.4299976404,0,400008,selectiveSobolSampling_Vald_XX
0.73469,1,18,Rand_Training_1
0.082643,0,18,LHS_Training_2
0.0039472718,0,276,Testing
0.61040004,1,1069,Testing
0.99351639,1,1995,Testing
0.98494,1,91,selectiveSobolSampling_Train_XX
0.49854,0,50128,selectiveSobolSampling_Train_XX
0.70021852,1,961,Testing
0.72954879,1,561,Testing
0.96489683,1,1339,Testing
0.12218339,0,1020,Testing
0.15926471,0,1824,Testing
0.25868148,0,1674,Testing
0.80243943,1,143,Testing
0.524,1,30,LHS_Training_3
0.0707639,0,3,Rand_Vald_5
0.3881059328,0,400024,selectiveSobolSampling_Vald_XX
0.19520519,0,1176,Testing
0.40018145,0,982,Testing
0.935303,1,59,Rand_Vald_3
0.83831686,1,71,Testing
0.038137,0,122,regularSobol_Vald_0
0.61482365,1,429,Testing
0.16559,0,54,regularSobol_Training_0
0.41145715,0,454,Testing
0.25394769,0,842,Testing
0.10555374,0,1884,Testing
0.14214,0,58,LHS_Training_0
0.050435,0,56,LHS_Training_1
0.83693,1,24,Rand_Training_4
0.89939,1,66,LHS_Training_0
0.98593959,1,907,Testing
0.196834,0,13,LHS_Vald_0
0.076714,0,113,LHS_Training_3
0.33185963,0,1042,Testing
0.47974113,0,1662,Testing
0.69413,1,25,selectiveSobolSampling_Train_XX
0.47683,0,13,LHS_Training_1
0.46406743,0,430,Testing
0.48735854,0,1182,Testing
0.0083215,0,74,regularSobol_Training_0
0.80774,1,62,Rand_Training_1
0.24031121,0,328,Testing
0.32106464,0,1522,Testing
0.89633267,1,1027,Testing
0.13681,0,82,LHS_Training_2
0.76926585,1,383,Testing
0.69394341,1,1153,Testing
0.98106,1,75,LHS_Training_5
0.75624,1,146,LHS_Training_5
0.0052121,0,20,Rand_Training_3
0.51893,1,9,LHS_Training_4
0.6412,1,43,Rand_Vald_4
0.58215,1,64,LHS_Training_2
0.94542003,1,1563,Testing
0.82257486,1,743,Testing
0.811436,1,15,Rand_Vald_1
0.079229,0,11,Rand_Training_1
0.313144,0,58,LHS_Vald_2
0.41783,0,149,Rand_Training_5
0.44969486,0,398,Testing
0.39409,0,26,Rand_Training_2
0.82751,1,109,Rand_Training_5
0.24233448,0,1416,Testing
0.953845,1,26,Rand_Vald_2
0.85196,1,71,LHS_Training_0
0.0058475,0,10,selectiveSobolSampling_Train_XX
0.69893,1,89,regularSobol_Training_0
0.454057,0,41,LHS_Vald_2
0.75609,1,31,LHS_Training_0
0.4177863,0,262,Testing
0.57076,1,8,Rand_Vald_2
0.53994669,1,1973,Testing
0.984389,1,18,LHS_Vald_4
0.912166,1,61,Rand_Vald_5
0.017188131,0,52,Testing
0.75343611,1,991,Testing
0.48509,0,144,selectiveSobolSampling_Vald_XX
0.639594,1,42,Rand_Vald_0
0.26718855,0,618,Testing
0.13623,0,70,regularSobol_Training_0
0.68142,1,44,Rand_Training_5
0.37099,0,16,LHS_Training_1
0.12256,0,33,Rand_Training_1
0.10210669,0,732,Testing
0.24674,0,36,Rand_Training_4
0.10243,0,77,Rand_Training_1
0.023294692,0,1204,Testing
0.182042,0,48,LHS_Vald_5
0.17614354,0,1856,Testing
0.69569,1,80,LHS_Training_3
0.97874268,1,1643,Testing
0.867385,1,26,LHS_Vald_2
0.14872718,0,912,Testing
0.66123417,1,1417,Testing
0.950728,1,37,Rand_Vald_5
0.62426028,1,237,Testing
0.084132,0,34,regularSobol_Training_0
0.070679,0,130,regularSobol_Vald_0
0.0375775,0,29,Rand_Vald_2
0.496381,0,46,LHS_Vald_2
0.30336122,0,1434,Testing
0.54604479,1,309,Testing
0.4575352,0,1902,Testing
0.79124605,1,1263,Testing
0.67957,1,65,regularSobol_Training_0
0.95344335,1,1275,Testing
0.6859621,1,129,selectiveSobolSampling_Vald_XX
0.49031151,0,798,Testing
0.413493,0,17,Rand_Vald_3
0.74123,1,137,regularSobol_Vald_0
0.49958,0,64976,selectiveSobolSampling_Train_XX
0.052809812,0,964,Testing
0.89272,1,78,LHS_Training_2
0.061362265,0,1924,Testing
0.45377903,0,1774,Testing
0.74677,1,32,Rand_Training_0
0.48277051,0,510,Testing
0.46509698,0,814,Testing
0.10657895,0,348,Testing
0.51191986,1,1861,Testing
0.90754,1,99,LHS_Training_5
0.35073,0,2,LHS_Training_3
0.049643,0,60,Rand_Training_0
0.98239924,1,235,Testing
0.33266112,0,1682,Testing
0.52684034,1,1893,Testing
0.89992766,1,1475,Testing
0.272399,0,234,Testing
0.45692,0,100,Rand_Training_2
0.055316,0,6,Rand_Training_5
0.1985,0,19,LHS_Training_2
0.49021442,0,1054,Testing
0.029900301,0,756,Testing
0.24338,0,21,Rand_Training_5
0.056502,0,59,Rand_Training_4
0.15179,0,38,Rand_Training_0
0.90861729,1,1363,Testing
0.08088216,0,162,regularSobol_Vald_1
0.81426281,1,1447,Testing
0.93511,1,62,LHS_Training_3
0.9259,1,14,Rand_Training_0
0.88159136,1,1443,Testing
0.619299,1,34,LHS_Vald_4
0.2108057,0,1592,Testing
0.687432152,1,400001,selectiveSobolSampling_Vald_XX
0.42824302,0,1126,Testing
0.44520477,0,1742,Testing
0.45197,0,48,Rand_Training_2
0.608192,1,3,Rand_Vald_0
0.255402,0,330,Testing
0.51206,1,29,regularSobol_Training_0
0.73239917,1,689,Testing
0.058409117,0,4,Testing
0.709192,1,17,LHS_Vald_4
0.07106482,0,1964,Testing
0.29396801,0,122,Testing
0.78758,1,18,Rand_Training_4
0.84994,1,66,Rand_Training_4
0.82836,1,18,LHS_Training_4
0.995567,1,36,LHS_Vald_1
0.77103,1,111,regularSobol_Vald_0
0.59313,1,51,LHS_Training_0
0.435799,0,44,Rand_Vald_3
0.67357204,1,681,Testing
0.74553,1,60,Rand_Training_3
0.75766,1,34,Rand_Training_5
0.56604855,1,765,Testing
0.53009664,1,1253,Testing
0.62943,1,41,Rand_Training_5
0.123474,0,17,Rand_Vald_4
0.32291057,0,242,Testing
0.942947,1,55,LHS_Vald_5
0.9138231,1,1747,Testing
0.75207,1,78,Rand_Training_4
0.77385,1,52,Rand_Training_0
0.95449156,1,763,Testing
0.67395,1,16,Rand_Training_1
0.000293298,0,22,Rand_Vald_3
0.81868,1,71,selectiveSobolSampling_Train_XX
0.50002,1,52829,selectiveSobolSampling_Train_XX
0.56956045,1,1917,Testing
0.12950248,0,1264,Testing
0.15568,0,92,LHS_Training_5
0.44211852,0,1486,Testing
0.17667175,0,832,Testing
0.50188,1,3165,selectiveSobolSampling_Train_XX
0.788487,1,45,LHS_Vald_2
0.43377337,0,1318,Testing
0.78586312,1,1071,Testing
0.25974,0,116,Rand_Training_3
0.18648044,0,1664,Testing
0.698338,1,59,Rand_Vald_4
0.65294111,1,25,Testing
0.6310414,1,209,regularSobol_Vald_4
0.14989757,0,1424,Testing
0.73666,1,65,Rand_Training_5
0.63782099,1,185,Testing
0.78278,1,13,Rand_Training_1
0.92011,1,51,regularSobol_Training_0
0.083433,0,49,Rand_Training_3
0.673431,1,39,LHS_Vald_3
0.200304,0,13,LHS_Vald_2
0.9853,1,2,Rand_Training_2
0.48332569,0,1534,Testing
0.038756073,0,868,Testing
0.906507,1,17,Rand_Vald_0
0.99204049,1,1803,Testing
0.70087284,1,1985,Testing
0.906813,1,8,Rand_Vald_5
0.54845373,1,853,Testing
0.88827287,1,1763,Testing
0.57394,1,45,LHS_Training_1
0.42921,0,72,LHS_Training_5
0.58497796,1,1501,Testing
0.14871,0,7,Rand_Training_5
